sample	treatment	patient	response
PDOVCA_5_BEVA	BEVA	5	responsive
PDOVCA_5_CTRL	CTRL	5	responsive
PDOVCA_15_BEVA	BEVA	15	resistant
PDOVCA_15_CTRL	CTRL	15	resistant
PDOVCA_126_BEVA	BEVA	126	responsive
PDOVCA_126_CTRL	CTRL	126	responsive
PDOVCA_62_BEVA	BEVA	62	responsive
PDOVCA_62_CTRL	CTRL	62	responsive
PDOVCA_69_BEVA	BEVA	69	resistant
PDOVCA_69_CTRL	CTRL	69	resistant
PDOVCA_49_BEVA	BEVA	49	resistant
PDOVCA_49_CTRL	CTRL	49	resistant
PDOVCA_17_BEVA	BEVA	17	resistant
PDOVCA_17_CTRL	CTRL	17	resistant
