pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0022997700229977	0.00884526931922192	0.540560641049052	1.25817391032133	22	180	TGIF1 PDLIM5 DDX58 SAT1 BCL6 EHD1 SMAD3 CCNL1 CD44 TNFAIP2 IL18 CDKN1A DUSP2 JAG1 CCND1 CSF1 VEGFA RCAN1 PFKFB3 NAMPT FOSB ICAM1 PNRC1 GADD45B EIF1 NFKBIA ICOSLG TSC22D1 CFLAR PLAU TIPARP SOD2 TRIP10 LITAF PLEK SIK1 KLF2 IRF1 EFNA1 DENND5A PLK2 BTG1 SERPINB8 CCL2 NFAT5
HALLMARK_HYPOXIA	9.99900009999e-05	0.000999900009999	0.567313998683841	1.32251750372663	0	190	NDRG1 KLHL24 GCNT2 HDLBP CP ILVBL GRHPR ZNF292 DTNA AKAP12 TPD52 NEDD4L CDKN1C NDST1 ERRFI1 CDKN1A KIF5A ALDOA SLC2A1 PAM PFKL ENO1 WSB1 VEGFA NR3C1 PFKFB3 KLF7 GAA STBD1 ERO1A PDK1 ANGPTL4 PNRC1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0014998500149985	0.008332500083325	0.631984917888677	1.42956425873619	14	73	CBS PLSCR1 GLDC ERRFI1 LGMN JAG1 SQLE TM7SF2 FDFT1 LSS PNRC1 LGALS3 SC5D FDPS EBP ATXN2 ANXA5 STX5
HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.000999900009999	0.608420087186603	1.4198577589451	0	199	FLNB SORBS2 DST SEPTIN9 PCM1 AKAP13 SPTAN1 FLNA OPHN1 PDLIM5 ATG4B TUBA4A DLG1 FGD4 VCL DYNC1H1 CDC27 LRPPRC ARHGEF7 SMC4 ALS2 EPB41 FSCN1 CDK5RAP2 ARFIP2 RHOF KLC1 SSH2 LMNB1 KIF1B CDC42 NCK1 CDC42EP2 RAPGEF5 SUN2 MID1 TUBGCP3 RHOT2 PPP4R2 TUBGCP2 SMC1A DOCK2 ARHGEF2 CSNK1D TLK1 CLIP1 ARHGEF12 BUB1 PIF1 SAC3D1 NUMA1 RASAL2 NF1 BCAR1 PLEKHG2 NOTCH2 ECT2 ARHGAP5 CAPZB KNTC1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.243475652434757	0.312148272352252	0.514782505140975	1.12513115709212	2434	36	TP53 NCOR2 JAG1 HDAC2 DVL2 ADAM17 CSNK1E NUMB PSEN2 JAG2 AXIN2 GNAI1 CTNNB1 MYC AXIN1 HEY2 FRAT1 RBPJ
HALLMARK_TGF_BETA_SIGNALING	0.0003999600039996	0.00333300003333	0.674436628743363	1.50445825814772	3	53	TGIF1 CDH1 TRIM33 TJP1 CDKN1C WWTR1 NCOR2 SMAD3 UBE2D3 LEFTY2 THBS1 ARID4B RHOA MAP3K7
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.541145885411459	0.588202049360281	0.438126790824818	0.986732215768998	5411	66	CD44 CSF1 HAX1 CNTFR LEPR PTPN2 TNFRSF1B PDGFC GRB2 IRF1 TYK2 IL17RB IFNAR1 MYD88 TNFRSF1A IL10RB PIM1 FAS IL17RA IRF9 IL15RA STAT2 PTPN11 BAK1
HALLMARK_DNA_REPAIR	0.340565943405659	0.396006910936813	0.45009878381801	1.04249068709675	3405	148	TP53 REV3L BCAP31 AK1 POLR2H DDB1 BCAM GTF3C5 AK3 UMPS GMPR2 ADRM1 PNP GPX4 SMAD5 TAF1C ERCC1 SURF1 GTF2H5 POLR2C IMPDH2 TAF12 SEC61A1 SNAPC4 SAC3D1 NCBP2 NME4 RBX1 POLR2F SDCBP VPS37D POLR2G POM121 NUDT21 NELFE POLD1 SRSF6 ERCC4 ITPA COX17 TYMS ERCC5 ERCC8 EDF1 GUK1 POLR2A POLD3 STX3 NELFB POLR2E TAF13
HALLMARK_G2M_CHECKPOINT	0.0054994500549945	0.0152762501527625	0.523984684215824	1.22261620775259	54	198	DMD MEIS1 SS18 EWSR1 CDC27 SMC4 HNRNPU SMAD3 XPO1 SRSF10 NCL WRN ATRX HSPA8 CCND1 SQLE KPNB1 MCM2 TRAIP CUL4A SLC38A1 LMNB1 CASP8AP2 MTF2 YTHDC1 TMPO TFDP1 PURA MAP3K20 JPT1 G3BP1 RPS6KA5 SMC1A MNAT1 NASP FOXN3 NSD2 FANCC HNRNPD LBR BUB1 SYNCRIP BARD1 NUMA1 RASAL2 EZH2 CUL3 AMD1 CHMP1A CHEK1 ILF3 NOTCH2 EGF PDS5B HUS1 TNPO2 HMGN2 SRSF1 CDC25B STAG1 PRMT5 TENT4A E2F1 DR1 PLK4 CDKN2C
HALLMARK_APOPTOSIS	0.0022997700229977	0.00884526931922192	0.55377480699224	1.28207032213986	22	144	ERBB2 SPTAN1 DNM1L ANXA1 SAT1 IFITM3 BCAP31 CD44 PTK2 ANKH IL18 CDKN1A CCND1 DIABLO BCL2L1 EMP1 CASP1 ERBB3 RHOT2 GADD45B LGALS3 SC5D GPX4 CYLD APP WEE1 EBP IGF2R TGFB2 CASP7 CREBBP DPYD CFLAR CASP8 SOD2 GSR DNAJC3 IRF1 BCL10 BGN DAP3 CTH CDC25B CASP2 ADD1
