pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"2-LTR circle formation"	0.298570142985701	0.576297802416428	0.605992941353476	1.18779915153025	2985	7	PSIP1 LIG4 XRCC5 BANF1
"5-Phosphoribose 1-diphosphate biosynthesis"	0.218578142185781	0.512011371396709	0.753940752093379	1.42360885129998	2185	2	PRPS2 PRPS1
"A tetrasaccharide linker sequence is required for GAG synthesis"	0.687631236876312	0.822198253547427	0.41820619948589	0.891299688274903	6876	23	HSPG2 BGN GPC6 CSPG4 GPC4 B3GAT3 B4GALT7 B3GAT1 GPC5 B3GALT6 SDC3 AGRN
"ABC transporter disorders"	0.0371962803719628	0.252190379847809	0.550274695085541	1.24239528709924	371	74	PSMD9 PSMD6 ABCD4 PSMD2 VCP OS9 PSMC1 PSMB9 PSMB8 UBC PSMB4 ERLIN2 LMBRD1 PSMD4 PSMD11 PSMC4 ABCC9 PSMB10 ABCA12 UBA52 PSMB7 PSME3 ABCB6 PSMA7 PSMC2 PSMD7 UBB PSMD12 PSMD13 PSMC3 PSMC6 PSMA5 PSMF1 PSMD1 ERLIN1
"ABC transporters in lipid homeostasis"	0.732926707329267	0.843472063050105	0.405542835947818	0.846723037195085	7329	17	ABCD3 ABCA12 ABCA7 ABCA2 ABCG4 APOA1 ABCA5 ABCA10 ABCA6
"ABC-family proteins mediated transport"	0.0322967703229677	0.234103236382949	0.536622994097471	1.2239381268332	322	97	ABCB9 PSMD9 PSMD6 PSMD2 VCP OS9 PSMC1 PSMB9 PSMB8 UBC ABCD3 PSMB4 ERLIN2 ABCC5 PSMD4 PSMD11 PSMC4 ABCC9 PSMB10 ABCA12 UBA52 PSMB7 PSME3 ABCB6 ABCA7 EIF2S3 PSMA7 PSMC2 PSMD7 ABCA2 UBB PSMD12 EIF2S1 PSMD13 PSMC3 PSMC6 PSMA5 ABCG4 ABCC10 PSMF1 ABCC1 PSMD1 ERLIN1
"ABO blood group biosynthesis"	0.980701929807019	0.996340483450606	0.0933354390397979	0.175674073603135	9807	3	FUT2 ABO FUT1
"ADORA2B mediated anti-inflammatory cytokines production"	0.241775822417758	0.535045032973851	0.492157343793953	1.10297954981065	2417	62	PRKAR1A MC1R GNAI2 PRKX GNB1 ADCY7 PRKAR2B GNB2 GNB4 GNAS P2RY11 GNG5 PTH2R GPR176 PRKAR1B GNAI1 GLP1R CREB1
"ADP signalling through P2Y purinoceptor 1"	0.688031196880312	0.822198253547427	0.42084141197316	0.886726955681271	6880	19	GNB1 GNB2 GNB4 GNG5 PLA2G4A SRC GNB5 GNG10 GNA11 MAPK14
"ADP signalling through P2Y purinoceptor 12"	0.185381461853815	0.490131974987249	0.595560246971936	1.23407578682049	1853	15	GNAI2 GNB1 GNB2 GNB4 GNG5
"AKT phosphorylates targets in the cytosol"	0.0387961203879612	0.260903909609039	0.703651094929033	1.4511978995907	387	14	AKT2 TSC2 GSK3B CDKN1A AKT3
"AKT phosphorylates targets in the nucleus"	0.126387361263874	0.425059574486379	0.665296541126672	1.338572452325	1263	10	AKT2 AKT3 FOXO4 AKT1 CREB1 RPS6KB2
"AKT-mediated inactivation of FOXO1A"	0.0640935906409359	0.327364099033135	0.823409295045553	1.56170758543451	640	4	AKT2 AKT3 AKT1
"ALK mutants bind TKIs"	0.0556944305569443	0.304756131529704	0.700869869064312	1.43196652877896	556	12	PRKAR1A CLTC HIP1 EIF2AK3 PPM1B EML4
"ALKBH2 mediated reversal of alkylation damage"	0.284371562843716	0.566636669666367	0.709653647752395	1.43063799663311	2843	1	ALKBH2
"ALKBH3 mediated reversal of alkylation damage"	0.393260673932607	0.643735017978932	0.598192188506441	1.13455274789738	3932	4	ASCC3 ASCC2 ASCC1 ALKBH3
"AMPK inhibits chREBP transcriptional activation activity"	0.253874612538746	0.543126953795386	0.617500423093251	1.22269192640509	2538	8	MLXIPL PRKAG2 STK11 PRKAA2
"APC truncation mutants are not K63 polyubiquitinated"	0.221177882211779	0.512021395386627	0.771186440677966	1.55468604722383	2211	1	APC
"APC truncation mutants have impaired AXIN binding"	0.222277772222778	0.512021395386627	0.586024591780445	1.20860702531281	2222	14	GSK3B PPP2R5C CSNK1A1 PPP2R1A APC PPP2R5E PPP2CA AXIN1 PPP2R5B AMER1
"APC-Cdc20 mediated degradation of Nek2A"	0.191980801919808	0.496035775291201	0.551751279370772	1.18417360645773	1919	26	CDC27 CDC16 ANAPC2 UBC ANAPC5 ANAPC1 UBA52 ANAPC7 UBB UBE2E1 ANAPC15 ANAPC11 CDC23 ANAPC16
"APC/C-mediated degradation of cell cycle proteins"	0.135586441355864	0.436509008673601	0.502997011372842	1.14189681088777	1355	86	CDC27 PSMD9 PSMD6 PSMD2 PSMC1 CDC16 ANAPC2 PSMB9 PSMB8 UBC ANAPC5 PSMB4 PSMD4 PSMD11 PSMC4 ANAPC1 PSMB10 UBA52 PSMB7 PSME3 ANAPC7 PSMA7 PSMC2 PSMD7 UBB PSMD12 PSMD13 UBE2E1 PSMC3 PSMC6 PSMA5 PSMF1 AURKB PSMD1 ANAPC15 ANAPC11 CCNB1 CDC23 ANAPC16 PSMA6 PSMA3
"APC/C:Cdc20 mediated degradation of Cyclin B"	0.0926907309269073	0.376517214050407	0.60125081989634	1.28485545952728	926	24	CDC27 CDC16 ANAPC2 UBC ANAPC5 ANAPC1 UBA52 ANAPC7 UBB UBE2E1 ANAPC15 ANAPC11 CCNB1 CDC23 ANAPC16
"APC/C:Cdc20 mediated degradation of Securin"	0.0242975702429757	0.213131947674798	0.569779834073002	1.28046793831026	242	66	CDC27 PSMD9 PSMD6 PSMD2 PSMC1 CDC16 ANAPC2 PSMB9 PSMB8 UBC ANAPC5 PSMB4 PSMD4 PSMD11 PSMC4 ANAPC1 PSMB10 UBA52 PSMB7 PSME3 ANAPC7 PSMA7 PSMC2 PSMD7 UBB PSMD12 PSMD13 UBE2E1 PSMC3 PSMC6 PSMA5 PSMF1 PSMD1 ANAPC15 ANAPC11 CDC23 ANAPC16 PSMA6 PSMA3
"APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0448955104489551	0.277893129054442	0.54511647743091	1.23074920313213	448	74	CDC27 PSMD9 PSMD6 PSMD2 PSMC1 CDC16 ANAPC2 PSMB9 PSMB8 UBC ANAPC5 PSMB4 PSMD4 PSMD11 PSMC4 ANAPC1 PSMB10 UBA52 PSMB7 PSME3 ANAPC7 PSMA7 PSMC2 PSMD7 UBB PSMD12 PSMD13 UBE2E1 PSMC3 PSMC6 PSMA5 PSMF1 PSMD1 ANAPC15 ANAPC11 CCNB1 CDC23 ANAPC16 PSMA6 PSMA3
