pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0016998300169983	0.00692238468460846	0.59831281945887	1.29419462495645	16	188	TGIF1 DDX58 PDLIM5 IL18 VEGFA BCL6 RCAN1 DUSP2 EHD1 TNFAIP2 ICAM1 FOSB SAT1 CDKN1A CCNL1 PFKFB3 CSF1 CCND1 JAG1 SIK1 PLEK GADD45B IL15RA SMAD3 CCL2 NFKBIA PNRC1 NFAT5 IRF1 TNIP1 EIF1 PLAU TIPARP SERPINB8 ICOSLG SOD2 EFNA1 KLF2 TRIP10 MCL1 BTG1
HALLMARK_HYPOXIA	0.0022997700229977	0.00821346436784893	0.591651847086142	1.28035683166824	22	194	GCNT2 KLHL24 NDRG1 GRHPR ILVBL CP VEGFA AKAP12 ZNF292 PFKL TPD52 KIF5A ANGPTL4 DTNA NDST1 CDKN1C CDKN1A PFKFB3 STBD1 ERRFI1 PDK1 ALDOA HDLBP NR3C1 KLF7 PNRC1 SLC2A1 SULT2B1 FBP1 TIPARP CSRP2 PGM1 EFNA1 ENO1 NDST2 BTG1 CCNG2 STC1 IL6 CA12 P4HA1 GAA MXI1 PAM ERO1A CASP6 TNFAIP3 CCN5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0068993100689931	0.0164269287356979	0.647345461379702	1.37211172544759	68	74	CBS PLSCR1 LGMN SQLE ERRFI1 GLDC JAG1 TM7SF2 ANXA5 EBP STX5 PNRC1 LSS LGALS3
HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.0008332500083325	0.675347532108314	1.46225856426727	0	199	SORBS2 FLNB AKAP13 TUBA4A SPTAN1 SEPTIN9 DST PCM1 FLNA PDLIM5 OPHN1 FGD4 ARHGEF7 VCL LRPPRC DYNC1H1 CDC27 DLG1 ATG4B ALS2 CDK5RAP2 SMC4 EPB41 RHOF CDC42EP2 PIF1 FSCN1 ARFIP2 SSH2 KIF1B LMNB1 KLC1 SUN2 DOCK2 RAPGEF5 TUBGCP3 RHOT2 PPP4R2 NCK1 CSNK1D TLK1 CLIP1 ECT2 CNTROB PXN SAC3D1 SMC1A WASF1 RASA2 ARHGEF12 KNTC1 TUBGCP2 APC MID1 BUB1 PCNT KATNB1 DOCK4 TSC1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.105289471052895	0.150413530075564	0.599461581648898	1.24406262601615	1052	39	TP53 JAG1 HDAC2 AXIN2 NCOR2 DVL2 ADAM17 NUMB LEF1
HALLMARK_TGF_BETA_SIGNALING	0.0012998700129987	0.00692238468460846	0.716332965186263	1.50453077138862	12	54	CDH1 TGIF1 WWTR1 TRIM33 TJP1 LEFTY2 THBS1 CDKN1C UBE2D3 NCOR2 SMAD3 RHOA MAP3K7 ARID4B RAB31
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.115588441155884	0.160539501605395	0.556470238436805	1.18006303265501	1155	75	CNTFR LEPR CSF1 HAX1 IL17RB TYK2 CSF2RB MYD88 IL15RA IRF1 ACVRL1 CD36 PTPN2 FAS PIK3R5 PDGFC IL6 TNFRSF1B IL17RA A2M STAT2 IL2RG CD38 CD44 LTB PIM1 IL10RB
HALLMARK_DNA_REPAIR	0.211978802119788	0.246486979209056	0.505313364488424	1.08817035632299	2119	149	TP53 REV3L AK1 UMPS DDB1 BCAP31 BCAM TAF1C GTF3C5 SURF1 GMPR2 POLR2C ADRM1 SMAD5 SNAPC4 SEC61A1 TYMS AK3 NME4 RBX1 GPX4 PNP GTF2H5 ERCC4 POLR2H TAF12 VPS37D SAC3D1 POLR2G NUDT9 NUDT21 POLR2A EDF1 POM121 ERCC3 COX17 NELFB ITPA POLA2 NELFE IMPDH2 POLR1C TAF13 RFC2 XPC POLR2F NCBP2 EIF1B ERCC1 ERCC5 STX3 SDCBP POLD3 NT5C POLD1 UPF3B GTF2H1 DCTN4 SRSF6
HALLMARK_G2M_CHECKPOINT	0.0337966203379662	0.0625863339591967	0.545075574531088	1.1800556406161	337	198	DMD SS18 CDC27 EWSR1 ATRX MEIS1 SMC4 CASP8AP2 WRN SQLE TRAIP MCM2 HNRNPU CCND1 SRSF10 NCL HSPA8 PURA PRMT5 LMNB1 FANCC XPO1 TMPO SLC38A1 CUL4A CHAF1A SMAD3 YTHDC1 MNAT1 AURKB RPS6KA5 CHEK1 MYBL2 EGF FOXN3 JPT1 E2F1 HMGB3 TFDP1 MAP3K20 EZH2 CHMP1A SMC1A CDKN2C KPNB1 AMD1 HMGN2 BUB1 HUS1 KMT5A SRSF1 MTF2 TNPO2 NOTCH2 PLK4 LBR KIF15 NASP HNRNPD SYNCRIP ESPL1 H2BC12 POLA2 HIRA NDC80 PDS5B ABL1 CCNF SMC2 ARID4A DR1 CTCF NSD2 G3BP1 CENPA SRSF2 NUP50 KPNA2 H2AX BIRC5 E2F4 BRCA2 CUL5 ILF3 BUB3 CDC7 CKS1B SLC7A1
HALLMARK_APOPTOSIS	0.0057994200579942	0.0144985501449855	0.593886797051732	1.27899591605697	57	150	DNM1L SPTAN1 IL18 ERBB2 ANXA1 TGFB2 DIABLO IFITM3 SAT1 CDKN1A CASP1 BCAP31 CCND1 BCL2L1 ANKH EBP CTH GADD45B RHOT2 IRF1 LGALS3 GSR LEF1 DNAJC3 CASP8 WEE1 DPYD SOD2 CASP7 CASP2 GPX4 FAS MCL1 SC5D CYLD EMP1 CASP9 IL6 APP CREBBP CCND2 CASP6 PPT1 IGF2R DDIT3 AIFM3 CFLAR CD38 RHOB RNASEL CD44 TAP1 EREG BGN PDCD4 ERBB3 AVPR1A IER3 CAV1 DAP3 BCL10 MADD SLC20A1 PPP2R5B HMOX1 CASP3
