pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"2-LTR circle formation"	0.114088591140886	0.379370283995859	0.733516908205123	1.41344721481856	1140	7	PSIP1 LIG4
"5-Phosphoribose 1-diphosphate biosynthesis"	0.204479552044796	0.453111628338946	0.771508844513758	1.43158474048744	2044	2	PRPS2 PRPS1
"A tetrasaccharide linker sequence is required for GAG synthesis"	0.750624937506249	0.850594637366764	0.409488243151956	0.83810339666835	7506	25	HSPG2 CSPG4 B3GAT1 NCAN VCAN BGN GPC6 GPC4 GPC5 DCN B3GALT6
"ABC transporter disorders"	0.0514948505149485	0.288813845888138	0.583889280986177	1.23828074393182	514	76	PSMD9 ABCD4 PSMD6 PSMD2 PSMB8 UBC PSMC1 PSMB9 VCP RNF185 PSMD4 PSMC4 PSMB10 PSMB4 ABCC9 LMBRD1 UBA52 OS9 ABCA12 UBB PSMB7 ERLIN2 PSMC3 PSMD11 PSMD7 PSMF1 PSME3 PSMD13 PSMA7
"ABC transporters in lipid homeostasis"	0.665133486651335	0.792177842177098	0.439914549894648	0.886921662422991	6651	18	ABCD3 ABCG4 ABCA12 ABCA7 ABCD2 ABCA6 ABCA9 PEX19
"ABC-family proteins mediated transport"	0.102289771022898	0.363025513010659	0.546374348147889	1.1672863538241	1022	100	ABCB9 PSMD9 PSMD6 PSMD2 PSMB8 UBC PSMC1 ABCD3 PSMB9 VCP ABCC5 RNF185 PSMD4 PSMC4 PSMB10 PSMB4 ABCC9 UBA52 OS9 ABCG4 ABCA12 UBB PSMB7 ERLIN2 PSMC3 PSMD11 PSMD7 PSMF1 ABCA7 PSME3 PSMD13 PSMA7 EIF2S3
"ABO blood group biosynthesis"	0.867313268673133	0.921169720026704	0.267457318702867	0.496948033456639	8673	3	ABO FUT2 FUT1
"ADORA2B mediated anti-inflammatory cytokines production"	0.310768923107689	0.543624898873749	0.505519680456069	1.07380782791694	3107	80	MC1R PRKX GNAI2 PRKAR1A ADCY7 GNB1 GNB4 PRKAR2B GNB2 GLP1R P2RY11 PTH2R IL6 GNG5 GPR176
"ADP signalling through P2Y purinoceptor 1"	0.646335366463354	0.77997256619267	0.44693000748821	0.908405660292543	6463	21	GNB1 GNB4 GNB2 GNG5 SRC PLA2G4A GNB5 GNG10
"ADP signalling through P2Y purinoceptor 12"	0.202679732026797	0.451764868761993	0.610577927652143	1.22640212969021	2026	17	GNAI2 GNB1 GNB4 GNB2 GNG5
"AKT phosphorylates targets in the cytosol"	0.012998700129987	0.171207478182663	0.788410927775951	1.5687813459171	129	14	TSC2 AKT2 CDKN1A GSK3B AKT3
"AKT phosphorylates targets in the nucleus"	0.118288171182882	0.381247070098185	0.700866634912638	1.3766117324165	1182	10	AKT2 AKT3 FOXO4
