"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000156113","KCNMA1",34,94.2026920227843,3.38391720279646e-50,1.07334469755501e-45
"ENSG00000224078","SNHG14",50,195.748678960231,7.64085537061141e-46,1.21180145750212e-41
"ENSG00000226476","LINC01748",14,36.0215473860243,1.32803497055764e-43,1.40413137437059e-39
"ENSG00000154556","SORBS2",32,75.1558346906947,6.43901788648641e-40,5.10598020853656e-36
"ENSG00000125967","NECAB3",18,82.9061302318329,1.14034766179966e-37,7.23413749692467e-34
"ENSG00000166405","RIC3",10,30.3406401229306,1.20513148037225e-36,6.37092757098791e-33
"ENSG00000126878","AIF1L",8,42.7760151407958,8.85971243962552e-34,4.01458884103546e-30
"ENSG00000048052","HDAC9",23,102.505978633999,5.44844574810254e-29,2.16024063355081e-25
"ENSG00000136068","FLNB",25,141.764213649442,9.86732671173581e-29,3.47757484410609e-25
"ENSG00000251209","LINC00923",15,43.5003738496123,5.82206967236745e-28,1.84670227937823e-24
"ENSG00000133943","DGLUCY",29,126.812043407664,4.2118054340382e-27,1.11328547135215e-23
"ENSG00000172965","MIR4435-2HG",48,176.6218032176,3.95120008578129e-27,1.11328547135215e-23
"ENSG00000151276","MAGI1",16,76.9392821035927,1.3070638029344e-25,3.18913513579047e-22
"ENSG00000130707","ASS1",10,56.9088254890803,1.03900716330247e-23,2.35401915805649e-20
"ENSG00000082438","COBLL1",18,64.0067536045589,9.20523456512346e-23,1.94653890114101e-19
"ENSG00000134030","CTIF",11,46.9473129616873,2.53989991806928e-22,5.03519284382747e-19
"ENSG00000068650","ATP11A",16,72.2138363056433,3.54952231588838e-22,6.62278225515668e-19
"ENSG00000079337","RAPGEF3",18,95.2015725405038,6.01698458780139e-22,1.06029296744707e-18
"ENSG00000039068","CDH1",10,56.0750581832034,7.24851990546872e-22,1.21008317306085e-18
"ENSG00000076706","MCAM",10,40.6791334244682,1.23328786315622e-21,1.95593288657261e-18
"ENSG00000169129","AFAP1L2",6,35.224460102354,1.3493347979643e-21,2.03807383126807e-18
"ENSG00000134363","FST",4,17.419932978263,3.00616701863278e-21,4.33420962109151e-18
"ENSG00000072163","LIMS2",13,31.7543929157029,5.11589554151639e-21,7.05526481223298e-18
"ENSG00000184937","WT1",16,80.9116501214457,2.82262810377577e-20,3.73045586765265e-17
"ENSG00000172037","LAMB2",18,73.8403482181714,6.17227173804097e-20,7.83113149035687e-17
"ENSG00000118307","CFAP94",11,28.2892768822702,1.43174574483208e-19,1.74667474155111e-16
"ENSG00000046651","OFD1",18,78.4973892566853,4.44118949492841e-19,5.21741072554201e-16
"ENSG00000197119","SLC25A29",15,71.092388335147,2.11917226979235e-18,2.40064375805513e-15
"ENSG00000170776","AKAP13",23,109.431820600577,3.19012372120403e-18,3.37291781042902e-15
"ENSG00000111846","GCNT2",11,35.2153338747154,3.17058957246879e-18,3.37291781042902e-15
"ENSG00000163531","NFASC",9,21.6445144341672,4.34645852541822e-18,4.44726832154001e-15
"ENSG00000087470","DNM1L",22,95.3269422203332,8.71972756360628e-18,8.64315745593836e-15
