pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	9.99900009999e-05	0.000384576926922692	0.790870607445875	1.54262732851994	0	180	ABCA1 SMAD3 ETS2 CD44 SQSTM1 IRF1 KLF6 TGIF1 EFNA1 TNFAIP2 CSF1 NAMPT ZC3H12A NFKBIA KLF2 ICAM1 SOD2 LIF DUSP5 PLAUR TAP1 CCL2 ATP2B1 BCL6 SGK1 ATF3 SOCS3 BCL3 CFLAR CEBPB B4GALT5 TRIB1 SPSB1 TNF PDLIM5 IL18 BIRC3 IFIH1 CXCL2 MAP3K8 RELB IRS2 SDC4 DRAM1 AREG NFE2L2 FOSL2 PMEPA1 CLCF1 CEBPD MAFF CCND1 CCL5 F2RL1 YRDC F3 DUSP4 HES1 SERPINB8
HALLMARK_HYPOXIA	9.99900009999e-05	0.000384576926922692	0.712632187635466	1.39103874116835	0	190	ANXA2 CP IGFBP3 KLF6 EFNA1 NDRG1 CAV1 PLAUR TGM2 ISG20 PIM1 STC2 PDGFB CA12 ATF3 ERRFI1 TPBG RRAGD HSPA5 CCN2 TGFBI MIF IRS2 SLC2A1 SDC4 NOCT LDHA CITED2 FOSL2 P4HA2 MAFF S100A4 PPP1R3C TES WSB1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.013998600139986	0.0241355174827345	0.685312019819789	1.32607959064291	139	73	PLSCR1 CD9 PLAUR LGALS3 TM7SF2 ATF3 ERRFI1 NIBAN1 CXCL16 FADS2 TRIB3 DHCR7 FDFT1 SC5D ACAT2 FABP5 SCD GLDC STARD4 NFIL3 ACSS2
HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.000384576926922692	0.747827456848086	1.46002846165594	0	199	SMC4 CDK1 LMNB1 ESPL1 OPHN1 KNTC1 BUB1 PIF1 CCNB2 ANLN NUSAP1 PRC1 INCENP KIF15 PLK1 BIRC5 TPX2 TTK KIF2C DOCK2 CEP72 TOP2A MYH10 EZR DLGAP5 TRIO ARHGAP10 FBXO5 RACGAP1 SEPTIN9 GSN SMC1A NEK2 KIF23 NDC80 KIF4A MYO1E CENPJ AURKA CKAP5 KIF22 PDLIM5 KIF20B KIF11 CENPF TAOK2 SOS1 MID1IP1 YWHAE BRCA2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.36986301369863	0.410958904109589	0.565542987657623	1.08718056009228	3698	36	SKP2 NKD1 HDAC2 NOTCH1 FRAT1 PTCH1 MAML1 AXIN2 AXIN1
HALLMARK_TGF_BETA_SIGNALING	0.0202979702029797	0.0317155784421558	0.704628334568752	1.3583895152415	202	53	SMAD3 TGIF1 SMAD7 SKIL SLC20A1 RAB31 BCAR3 PMEPA1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0011998800119988	0.00272700002727	0.747408015575887	1.44391890590783	11	66	CD44 IRF1 OSMR CSF1 CD9 STAT1 PIM1 TNFRSF1A SOCS3 TNF MAP3K8 STAT3 LTBR IFNGR1
HALLMARK_DNA_REPAIR	0.0702929707029297	0.0976291259762913	0.601346075139415	1.17041476943329	702	148	NME4 ZWINT POLD1 POLA2 BCAM SRSF6 FEN1 POLH STX3 RFC5 TYMS RFC3 CMPK2 POLD3 LIG1 PCNA POLD4 ARL6IP1 SSRP1 RAD52 ALYREF UMPS CSTF3 DUT TAF10 POLR2D POLR2H DGCR8 RBX1 POLR2F PDE4B GTF2H5 ADCY6 TAF1C POLR2G ELOA TARBP2 RFC4 POLB
HALLMARK_G2M_CHECKPOINT	9.99900009999e-05	0.000384576926922692	0.845740931092069	1.6511238278236	0	198	SMAD3 H2AZ2 TMPO NASP SMC4 CDK1 EZH2 LMNB1 AURKB UBE2S ESPL1 TROAP BUB1 CCNB2 UBE2C SFPQ TRA2B SRSF1 LBR H2AX CDC6 MYBL2 NUSAP1 PRC1 RAD54L HMGN2 SRSF10 CENPA CDC45 STMN1 INCENP CDC7 KIF15 PLK1 BIRC5 TPX2 TTK SRSF2 KIF2C MKI67 POLA2 TOP2A CDC20 CCNF FBXO5 RACGAP1 CDC25A H2BC12 EWSR1 PTTG1 MAD2L1 SMC1A NEK2 EXO1 CCNA2 RBM14 KIF23 RBL1 TACC3 MCM5 NDC80 HNRNPD KIF4A ILF3 BCL3 CKS2 MCM6 PBK POLQ MCM2 AURKA CDKN3 MEIS1 HMGA1 HMGB3 CHEK1 KIF22 KNL1 STIL KIF20B KPNA2 KIF11 SMC2 DBF4 CENPF E2F3 TRAIP MAP3K20 ODC1 ODF2 PLK4 SMARCC1 NSD2 HMMR E2F1 GINS2 HNRNPU CDKN2C TFDP1 BARD1 TNPO2
HALLMARK_APOPTOSIS	9.99900009999e-05	0.000384576926922692	0.78093051081719	1.51973689516038	0	144	EMP1 CD44 SQSTM1 HMGB2 IRF1 ANXA1 LMNA GPX3 SOD2 CAV1 BCL2L1 CASP4 LGALS3 ISG20 TAP1 TOP2A GSN SMAD7 BRCA1 ATF3 BCL10 CFLAR SLC20A1 IGF2R TNF CASP2 BIK IL18 BIRC3 ANKH TIMP1 CDK2 TNFSF10 PSEN1 PPP2R5B CASP1 IFNGR1 DFFA CCNA1 CCND1 RNASEL SC5D
