pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"2-LTR circle formation"	0.182681731826817	0.518490589393581	0.731157033173691	1.38728044568925	1826	7	HMGA1 XRCC6 XRCC5 PSIP1
"5-Phosphoribose 1-diphosphate biosynthesis"	0.0057994200579942	0.0600016921384785	0.981207559088277	1.87134236759237	57	2	PRPS2 PRPS1
"A tetrasaccharide linker sequence is required for GAG synthesis"	0.758024197580242	0.929674053871209	0.426062056640971	0.813640213854137	7580	23	SDC4 GPC2 CSPG5 CSPG4 SDC1 AGRN SDC2 GPC3
"ABC transporter disorders"	0.026997300269973	0.173831021153204	0.67022287471433	1.29553576500208	269	74	ABCA1 ABCD1 PSMB8 UBB PSMB10 PSMD1 CFTR PSMB9 APOA1 PSMA2 PSMD11 PSMB2 DERL3
"ABC transporters in lipid homeostasis"	0.0031996800319968	0.0376040065896323	0.865869134654298	1.65212236488115	31	17	ABCG1 ABCD1 APOA1
"ABC-family proteins mediated transport"	0.0476952304769523	0.246731096121157	0.634867160791824	1.23109458630703	476	97	ABCG1 ABCD1 ABCC3 PSMB8 UBB PSMB10 PSMD1 CFTR PSMB9
"ABO blood group biosynthesis"	0.286571342865713	0.632307261077171	0.692724784165088	1.31934115497176	2865	3	FUT2 FUT1 ABO
"ADORA2B mediated anti-inflammatory cytokines production"	0.909009099090091	0.98645075251511	0.391441356600555	0.75523178072604	9090	62	ADM2 CREB1 PRKX ADCY9 AVPR2 GNG12 GNG7 ADCY6 GNAS ADRB1 P2RY11 RAMP1 PRKAR1A
"ADP signalling through P2Y purinoceptor 1"	0.714328567143286	0.906896102842546	0.442287371627833	0.843214824415331	7143	19	P2RY1 GNG12 GNG7
"ADP signalling through P2Y purinoceptor 12"	0.877112288771123	0.977260748114316	0.319712309838767	0.609035164336632	8771	15	GNG12 GNG7 GNG5 GNGT1 GNG11 GNB3 GNAI3 GNG10 GNB2 GNB5 GNB1 GNAI1 GNAI2
"AKT phosphorylates targets in the cytosol"	0.918108189181082	0.988763312280872	0.27305774938007	0.519611433277371	9181	14	AKT1 GSK3A MDM2 CDKN1B AKT3 AKT2 MKRN1 TSC2 AKT1S1
"AKT phosphorylates targets in the nucleus"	0.263573642635736	0.612023199593916	0.662503173597135	1.25891540237042	2635	10	FOXO1 CREB1 AKT1 NR4A1 FOXO3
"AKT-mediated inactivation of FOXO1A"	0.158384161583842	0.485377285056304	0.783994714901052	1.48259755236131	1583	4	FOXO1 AKT1
"ALK mutants bind TKIs"	0.298570142985701	0.64159750839468	0.634448467811484	1.20525414249533	2985	12	FN1 EML4 EIF2AK3 PRKAR1A
"ALKBH2 mediated reversal of alkylation damage"	0.75012498750125	0.928901209573855	0.253342457100747	0.502922036593288	7501	1	ALKBH2
"ALKBH3 mediated reversal of alkylation damage"	0.741425857414259	0.923123985801934	0.354777573045538	0.67091314703108	7414	4	ASCC2 ALKBH3 ASCC1 ASCC3
"AMPK inhibits chREBP transcriptional activation activity"	0.667033296670333	0.880443508782637	0.438821444057944	0.831996456722188	6670	8	MLXIPL ADIPOR1 ADIPOR2 ADIPOQ PRKAA2 PRKAB2
"APC truncation mutants are not K63 polyubiquitinated"	0.694530546945305	0.896777842215778	0.310980103168755	0.61734124084628	6945	1	APC
"APC truncation mutants have impaired AXIN binding"	0.527247275272473	0.818772067629671	0.524158017135215	0.997439183344168	5272	14	PPP2R5B PPP2R5A AXIN1 PPP2R5C PPP2R1A CSNK1A1
"APC-Cdc20 mediated degradation of Nek2A"	0.0036996300369963	0.0420507245050143	0.819328120189258	1.56610435959435	36	26	UBE2S UBE2C CDC20 MAD2L1 NEK2 UBB BUB1B
"APC/C-mediated degradation of cell cycle proteins"	9.99900009999e-05	0.0023967900239679	0.79230771056655	1.53306266101321	0	86	CDK1 AURKB UBE2S CCNB1 UBE2C SKP2 PLK1 CDC20 FBXO5 PTTG1 MAD2L1 NEK2 CCNA2 PSMB8 UBB AURKA PSMB10 PSMD1 BUB1B PSMB9 CDK2
"APC/C:Cdc20 mediated degradation of Cyclin B"	0.0003999600039996	0.00691645121202166	0.87766859246461	1.67680955271	3	24	CDK1 UBE2S CCNB1 UBE2C CDC20 UBB
"APC/C:Cdc20 mediated degradation of Securin"	0.026997300269973	0.173831021153204	0.678576479324754	1.31041413497018	269	66	UBE2S UBE2C CDC20 PTTG1 PSMB8 UBB PSMB10 PSMD1 PSMB9
"APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0002999700029997	0.00554372043711659	0.764893189258833	1.47853276943687	2	74	CDK1 UBE2S CCNB1 UBE2C CDC20 PTTG1 MAD2L1 NEK2 CCNA2 PSMB8 UBB PSMB10 PSMD1 BUB1B PSMB9
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0004999500049995	0.00817823623043101	0.758691162748043	1.46603801509909	4	72	AURKB UBE2S UBE2C SKP2 PLK1 CDC20 PTTG1 PSMB8 UBB AURKA PSMB10 PSMD1 PSMB9
