"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000014914.6","ENSG00000013588","GPRC5A",3.63676359686914e-06,0.00481790342260187,21.4473601753514,10.1933986661978,1,7.18487857697155,2.27488721430954,0.00231873184896198,0.205709812359157,0.0310543811940871,0.205709812359157,-0.482737666819113,0.101557070343319
"ENST00000219479.7","ENSG00000103202","NME4",1.19289096123511e-05,0.00927194094698179,19.1746171842133,5.58287196070839,1,6.17750741384227,0.114835929411658,0.00599010220071763,0.107946060262719,0.0317864761180278,0.107946060262719,0.341177037236873,0.0766994673335884
"ENST00000222690.10","ENSG00000105968","H2AZ2",1.46623481676148e-06,0.00326530493692783,23.1917700362908,1.77694782905961,1,7.10979944795857,0.114782663651024,0.000975252621545881,0.0352889887878339,0.0309807709516486,0.0352889887878339,0.224736132766935,0.0471435689354814
"ENST00000229758.8","ENSG00000112029","FBXO5",4.4884833934554e-06,0.00536362817997448,21.0440335990169,14.3250374454812,1,4.79418729537236,0.504719626473068,0.0567392509307188,0.235608452038286,0.0396658378491028,0.235608452038286,0.567857315599545,0.12082658281531
"ENST00000234626.11","ENSG00000097046","CDC7",1.23087599168643e-06,0.0030900587035976,23.5283353199243,4.64693308397465,1,5.53974711849564,0.223134429688149,0.0216576624633216,0.0731777065973856,0.0342813528832705,0.0731777065973856,0.338331572486943,0.0673076795350692
"ENST00000242728.5","ENSG00000123095","BHLHE41",5.86189022394761e-06,0.00617628923939977,20.5327749671723,7.19594956321459,1,7.53954025601513,0.795703141180757,0.00094002335720226,0.145916090177789,0.031684181007696,0.145916090177789,-0.398440770838851,0.0860282595897288
"ENST00000245414.9","ENSG00000125347","IRF1",1.37391345710207e-06,0.00313086120545389,23.3168464631826,2.96530721134097,1,5.64945481077233,0.103103617740233,0.00904488782722876,0.0514715858736073,0.0337293715866686,0.0514715858736073,-0.270573000531159,0.0545955491683425
"ENST00000248071.6","ENSG00000127528","KLF2",9.2782824481001e-08,0.000839557269882015,28.519014276121,26.1522622852972,1,4.70831926519394,5.09152825809013,0.0595095549365171,0.474210083538935,0.0406760517364166,0.474210083538935,-0.86519179768644,0.152715823227885
"ENST00000249075.4","ENSG00000128342","LIF",1.3885203264177e-05,0.00985929925688532,18.8848361129877,6.18147448138526,1,6.47333260660972,2.29412962085587,0.00762630564365411,0.11852623479278,0.0311822120878569,0.11852623479278,-0.356735834950088,0.0809157786927739
"ENST00000254260.8","ENSG00000131941","RHPN2",4.31053490487639e-06,0.00527975867823784,21.1215490569699,3.49095628904817,1,8.69345102044119,0.546668181230934,0.000638060171644129,0.0706059457272981,0.0372818658073308,0.0706059457272981,-0.280747120729957,0.0596054868224074
"ENST00000261366.10","ENSG00000113368","LMNB1",8.75140418146314e-07,0.00252215468509768,24.1849377825418,7.2046052570647,1,7.07010735733799,0.340195194139164,0.00646747221301743,0.140565288135242,0.0309501789728216,0.140565288135242,0.425912570180476,0.0833183082848003
"ENST00000262741.10","ENSG00000117461","PIK3R3",2.34876317293336e-06,0.00368054904104786,22.2863002816499,4.59881635311641,1,6.29653144030371,0.832466105923612,0.0263197832292748,0.0675336117322845,0.0315032803825206,0.0675336117322845,0.329327520298339,0.0677049768511033
"ENST00000264832.8","ENSG00000090339","ICAM1",2.69781411095669e-06,0.00400535468340037,22.0203040181018,13.1445381605754,1,6.07584089353985,3.3318643808976,0.0128104594414889,0.25544542138658,0.0320720645273071,0.25544542138658,-0.554076804873872,0.114736516745887
"ENST00000272163.9","ENSG00000143815","LBR",9.32277148419365e-06,0.0083047248381197,19.6453951177201,3.59068797897114,1,6.23508296969856,0.233007154573625,0.00536062899121854,0.0679187175183965,0.0316426630393034,0.0679187175183965,0.276379272730751,0.0612529268668843
"ENST00000273261.8","ENSG00000144749","LRIG1",6.30503752606774e-06,0.00654409907131474,20.3932932719741,4.03084712279226,1,7.31511751260734,1.46619780849087,0.00417464812562527,0.0780875380538086,0.0312312005228976,0.0780875380538086,0.297373808813989,0.0644667985380007
