pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"2-LTR circle formation"	0.180781921807819	0.517630151878429	0.731157033173691	1.3863458525033	1807	7	HMGA1 XRCC6 XRCC5 PSIP1
"5-Phosphoribose 1-diphosphate biosynthesis"	0.0076992300769923	0.073967603239676	0.981207559088277	1.87327858030577	76	2	PRPS2 PRPS1
"A tetrasaccharide linker sequence is required for GAG synthesis"	0.755124487551245	0.924856806533705	0.426062056640971	0.814591609355485	7551	23	SDC4 GPC2 CSPG5 CSPG4 SDC1 AGRN SDC2 GPC3
"ABC transporter disorders"	0.025997400259974	0.167839216078392	0.67022287471433	1.29528619809833	259	74	ABCA1 ABCD1 PSMB8 UBB PSMB10 PSMD1 CFTR PSMB9 APOA1 PSMA2 PSMD11 PSMB2 DERL3
"ABC transporters in lipid homeostasis"	0.0021997800219978	0.0271717726186565	0.865869134654298	1.65025095025788	21	17	ABCG1 ABCD1 APOA1
"ABC-family proteins mediated transport"	0.0453954604539546	0.241543757712141	0.634867160791824	1.23187319621403	453	97	ABCG1 ABCD1 ABCC3 PSMB8 UBB PSMB10 PSMD1 CFTR PSMB9
"ABO blood group biosynthesis"	0.294970502949705	0.644300736443007	0.692724784165088	1.32131062489161	2949	3	FUT2 FUT1 ABO
"ADORA2B mediated anti-inflammatory cytokines production"	0.91000899910009	0.98358763501151	0.391441356600555	0.756785585717514	9100	62	ADM2 CREB1 PRKX ADCY9 AVPR2 GNG12 GNG7 ADCY6 GNAS ADRB1 P2RY11 RAMP1 PRKAR1A
"ADP signalling through P2Y purinoceptor 1"	0.712328767123288	0.903158165858807	0.442287371627833	0.842565455211038	7123	19	P2RY1 GNG12 GNG7
"ADP signalling through P2Y purinoceptor 12"	0.875512448755124	0.975409981937586	0.319712309838767	0.607896711564601	8755	15	GNG12 GNG7 GNG5 GNGT1 GNG11 GNB3 GNAI3 GNG10 GNB2 GNB5 GNB1 GNAI1 GNAI2
"AKT phosphorylates targets in the cytosol"	0.92010798920108	0.988279255481728	0.27305774938007	0.518647383739736	9201	14	AKT1 GSK3A MDM2 CDKN1B AKT3 AKT2 MKRN1 TSC2 AKT1S1
"AKT phosphorylates targets in the nucleus"	0.25987401259874	0.606588763089009	0.662503173597135	1.25887327583464	2598	10	FOXO1 CREB1 AKT1 NR4A1 FOXO3
"AKT-mediated inactivation of FOXO1A"	0.156584341565843	0.482303678029144	0.783994714901052	1.49491570131205	1565	4	FOXO1 AKT1
"ALK mutants bind TKIs"	0.300769923007699	0.645535446455355	0.634448467811484	1.20438807199288	3007	12	FN1 EML4 EIF2AK3 PRKAR1A
"ALKBH2 mediated reversal of alkylation damage"	0.750524947505249	0.924456869381555	0.253342457100747	0.504143593167663	7505	1	ALKBH2
"ALKBH3 mediated reversal of alkylation damage"	0.73022697730227	0.912689474470209	0.354777573045538	0.676487423114957	7302	4	ASCC2 ALKBH3 ASCC1 ASCC3
"AMPK inhibits chREBP transcriptional activation activity"	0.663933606639336	0.878185434731636	0.438821444057944	0.832387775425048	6639	8	MLXIPL ADIPOR1 ADIPOR2 ADIPOQ PRKAA2 PRKAB2
"APC truncation mutants are not K63 polyubiquitinated"	0.694130586941306	0.894829686360438	0.310980103168755	0.618840712327977	6941	1	APC
"APC truncation mutants have impaired AXIN binding"	0.531246875312469	0.821820246090407	0.524158017135215	0.995588606697967	5312	14	PPP2R5B PPP2R5A AXIN1 PPP2R5C PPP2R1A CSNK1A1
"APC-Cdc20 mediated degradation of Nek2A"	0.0028997100289971	0.0326520836288464	0.819328120189258	1.56743972651424	28	26	UBE2S UBE2C CDC20 MAD2L1 NEK2 UBB BUB1B
"APC/C-mediated degradation of cell cycle proteins"	9.99900009999e-05	0.0021808629947816	0.79230771056655	1.5353502682669	0	86	CDK1 AURKB UBE2S CCNB1 UBE2C SKP2 PLK1 CDC20 FBXO5 PTTG1 MAD2L1 NEK2 CCNA2 PSMB8 UBB AURKA PSMB10 PSMD1 BUB1B PSMB9 CDK2
"APC/C:Cdc20 mediated degradation of Cyclin B"	9.99900009999e-05	0.0021808629947816	0.87766859246461	1.67790154019908	0	24	CDK1 UBE2S CCNB1 UBE2C CDC20 UBB
"APC/C:Cdc20 mediated degradation of Securin"	0.0250974902509749	0.164218983507055	0.678576479324754	1.31218654586192	250	66	UBE2S UBE2C CDC20 PTTG1 PSMB8 UBB PSMB10 PSMD1 PSMB9
"APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0002999700029997	0.00526251722653822	0.764893189258833	1.47824795071142	2	74	CDK1 UBE2S CCNB1 UBE2C CDC20 PTTG1 MAD2L1 NEK2 CCNA2 PSMB8 UBB PSMB10 PSMD1 BUB1B PSMB9
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0003999600039996	0.00658709639240158	0.758691162748043	1.46607991075314	3	72	AURKB UBE2S UBE2C SKP2 PLK1 CDC20 PTTG1 PSMB8 UBB AURKA PSMB10 PSMD1 PSMB9
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.001999800019998	0.0252162283771623	0.731673197411235	1.41387092486454	19	72	CDK1 UBE2S UBE2C CDC20 MAD2L1 NEK2 CCNA2 PSMB8 UBB PSMB10 PSMD1 BUB1B PSMB9
"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway"	0.341165883411659	0.679804612131379	0.629782196406991	1.19412916289604	3411	7	PNKP POLB XRCC1
"APOBEC3G mediated resistance to HIV-1 infection"	0.0834916508349165	0.349107576289003	0.833714484423066	1.58626232766779	834	5	PPIA HMGA1 PSIP1 APOBEC3G
"ARL13B-mediated ciliary trafficking of INPP5E"	0.95000499950005	0.995328506958911	0.133179675269097	0.254028329829089	9500	3	PDE6D ARL13B INPP5E
"ARMS-mediated activation"	0.516848315168483	0.816258166120969	0.528539859943844	1.003670192331	5168	6	KIDINS220 BRAF NTRK1 RAP1A CRK YWHAB
"ASP-3026- resistant ALK mutants"	0.980501949805019	0.996669849278625	0.0184756290135804	0.0367659258678266	9805	1	ALK
"ATF4 activates genes in response to endoplasmic reticulum  stress"	0.0163983601639836	0.129317361423467	0.775901891328874	1.48436190383102	163	26	CXCL8 CCL2 ATF3 ASNS CEBPB DCP2 CEBPG NFYA NFYB KHSRP EXOSC2
"ATF6 (ATF6-alpha) activates chaperone genes"	0.115988401159884	0.42010462630867	0.753641149849596	1.43205155978901	1159	10	HSPA5 NFYA NFYB CALR
"ATF6 (ATF6-alpha) activates chaperones"	0.155784421557844	0.481063883407578	0.715397199616088	1.35805490543125	1557	12	HSPA5 NFYA NFYB CALR
"ATP sensitive Potassium channels"	0.729527047295271	0.912689474470209	0.338755527479469	0.646145897954063	7295	3	ABCC8 ABCC9 KCNJ11
"AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.356664333566643	0.69380824547858	0.559060725518299	1.07823708822395	3566	53	HNRNPD PSMB8 UBB PSMB10 PSMD1 PSMB9 PSMA2 PSMD11 PSMB2
"AURKA Activation by TPX2"	0.0161983801619838	0.129317361423467	0.685961103836359	1.32553777251063	161	72	CDK1 HSP90AA1 PLK1 TPX2 CEP72 NEK2 NDE1 TUBB4A CENPJ AURKA CKAP5 ODF2 PLK4 CEP152 HMMR HAUS1 YWHAE TUBA1A DYNC1I2 PCM1 HAUS5 CEP43 CEP70 OFD1 HAUS8
"AXIN missense mutants destabilize the destruction complex"	0.531246875312469	0.821820246090407	0.524158017135215	0.995588606697967	5312	14	PPP2R5B PPP2R5A AXIN1 PPP2R5C PPP2R1A CSNK1A1
"Abacavir metabolism"	0.699230076992301	0.898532917408896	0.38117242147799	0.726816937594407	6992	4	PCK1 ADAL NT5C2 GUK1
"Abacavir transmembrane transport"	0.403059694030597	0.73313863204213	0.604127184670457	1.15231862081132	4030	3	ABCG2 SLC22A1 SLC22A2
"Abacavir transport and metabolism"	0.682031796820318	0.890045909202183	0.420582448757564	0.797465806955067	6820	7	ABCG2 SLC22A1 SLC22A2 GUK1 NT5C2
"Abasic sugar-phosphate removal via the single-nucleotide replacement pathway"	0.451054894510549	0.768017303532805	0.56335463361715	1.07553204059251	4510	2	POLB APEX1
"Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects"	0.0633936606339366	0.297434210067365	0.756681170780817	1.43888078672313	633	16	CCNE2 E2F3 CDK2 E2F1 CCNE1 TFDP1 CCND1 E2F2 TFDP2
"Aberrant regulation of mitotic cell cycle due to RB1 defects"	0.0108989101089891	0.0966529720654308	0.754436407864241	1.44842703385368	108	35	UBE2S UBE2C SKP2 CCNE2 E2F3 CDK2 E2F1 CCNE1 TFDP1 CCND1 E2F2
"Aberrant regulation of mitotic exit in cancer due to RB1 defects"	0.0040995900409959	0.043916404819695	0.837048299544997	1.59603480912213	40	20	UBE2S UBE2C SKP2 ANAPC15 ANAPC5
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	0.0537946205379462	0.265789339433404	0.947573428781977	1.88564158824107	537	1	IDH1
"Abortive elongation of HIV-1 transcript in the absence of Tat"	0.406659334066593	0.736917850131155	0.565464132654037	1.08111560433932	4066	23	POLR2L POLR2D POLR2H NCBP1 CTDP1 POLR2F POLR2G POLR2J POLR2I
Acetylation	0.788621137886211	0.938668522528278	0.216970207390252	0.43176394993499	7886	1	NAT1
"Acetylcholine Neurotransmitter Release Cycle"	0.505549445055495	0.808945939510477	0.533860548211688	1.01343971810928	5055	12	SYT1 VAMP2
