"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000135480","KRT7",13,63.4684653235741,6.4002967566952e-26,1.57671310601186e-21
"ENSG00000231721","LINC-PINT",15,48.5096340994246,1.53627012100202e-24,1.89230072154424e-20
"ENSG00000160179","ABCG1",9,24.7335003395281,4.4797356297645e-23,3.67860957464161e-19
"ENSG00000182718","ANXA2",37,133.042022260536,1.47682154562125e-22,9.09537469409487e-19
"ENSG00000047457","CP",14,65.4776412883495,3.1845964765934e-21,1.48702025024848e-17
"ENSG00000165029","ABCA1",5,23.5939614835552,3.621725797236e-21,1.48702025024848e-17
"ENSG00000072310","SREBF1",17,59.489458428036,9.80947285896734e-20,3.45223376972372e-16
"ENSG00000166949","SMAD3",14,48.3778029571686,6.6687135765711e-18,2.05354698698536e-14
"ENSG00000140022","STON2",7,36.6594771192094,1.00493454803705e-17,2.75072917676585e-14
"ENSG00000134531","EMP1",9,33.5554102038976,1.25464249019096e-17,3.09081177458542e-14
"ENSG00000013588","GPRC5A",6,24.8252682519546,2.46810100533926e-17,5.5274243878666e-14
"ENSG00000243649","CFB",8,24.1023261750109,4.58211061468913e-16,9.40669124940555e-13
"ENSG00000157557","ETS2",7,27.8149347366481,6.33927045127841e-16,1.1505448664207e-12
"ENSG00000188313","PLSCR1",14,52.1522498525325,6.53851354978274e-16,1.1505448664207e-12
"ENSG00000131941","RHPN2",6,34.535966890761,8.88730862789877e-16,1.45959232032191e-12
"ENSG00000026508","CD44",15,35.774876978893,1.52703447300347e-15,2.35115589015252e-12
"ENSG00000161011","SQSTM1",14,63.2334522627737,1.98838819301574e-15,2.88140841970252e-12
"ENSG00000164104","HMGB2",5,27.6618258357061,4.67363777402945e-15,6.3963925868453e-12
"ENSG00000105968","H2AZ2",6,32.7012771310477,9.97073012588666e-15,1.29278387711167e-11
"ENSG00000125347","IRF1",13,43.6488496270141,1.13984000192323e-14,1.40399792236894e-11
"ENSG00000163435","ELF3",10,57.4947991475044,1.24906813992668e-14,1.46527588700446e-11
"ENSG00000142910","TINAGL1",9,34.6825393774093,2.95984858383887e-14,3.31435772103957e-11
"ENSG00000213626","LBH",6,21.7032855350137,1.13383020663772e-13,1.21443074524001e-10
"ENSG00000146674","IGFBP3",7,28.6689510708305,1.87240102946155e-13,1.92194164003272e-10
"ENSG00000122966","CIT",20,70.0078724989185,2.44281204557267e-13,2.40714698970731e-10
"ENSG00000067082","KLF6",6,35.7569807415646,5.56990042974578e-13,5.27748065718413e-10
"ENSG00000088367","EPB41L1",14,60.9954589950016,1.22584552487112e-12,1.11847053722964e-09
"ENSG00000120802","TMPO",12,51.5170484738723,1.36085672573388e-12,1.19731090851622e-09
"ENSG00000177426","TGIF1",15,52.477165510104,2.43437636185988e-12,2.06796074739373e-09
"ENSG00000005884","ITGA3",13,51.0014729717644,2.92402430857802e-12,2.37127246572057e-09
"ENSG00000132780","NASP",14,50.7498783546088,2.9839434315948e-12,2.37127246572057e-09
"ENSG00000140416","TPM1",23,76.7684483715312,3.22024521104401e-12,2.47908564918966e-09
"ENSG00000048052","HDAC9",19,65.0997226736734,3.47466944743318e-12,2.59389338901565e-09
"ENSG00000144802","NFKBIZ",10,40.7220098043287,3.77637829682555e-12,2.73620821594992e-09
"ENSG00000197837","H4-16",4,16.4111240762105,4.61241461548371e-12,3.24648097292689e-09
"ENSG00000145623","OSMR",3,12.5541332434507,5.11535996711322e-12,3.40586196729282e-09
"ENSG00000123095","BHLHE41",3,16.3005806317139,5.04189566955709e-12,3.40586196729282e-09
"ENSG00000135926","TMBIM1",15,47.2534866659774,5.42454126275802e-12,3.51667300021168e-09
"ENSG00000113810","SMC4",18,70.3761768197897,6.75948627347725e-12,4.26974216274646e-09
"ENSG00000170312","CDK1",5,18.5662617214067,7.11805515965131e-12,4.38383222145025e-09
"ENSG00000189403","HMGB1",8,41.1669401181407,7.6645218592998e-12,4.60525600009391e-09
"ENSG00000169242","EFNA1",5,24.0362173786429,9.65203439947341e-12,5.66137779597684e-09
"ENSG00000153113","CAST",33,123.692055583346,1.0307552875763e-11,5.9052689556842e-09
"ENSG00000156675","RAB11FIP1",5,28.4788090571137,1.24602684697729e-11,6.97633440347396e-09
"ENSG00000272398","CD24",7,36.578437839905,1.43381465073633e-11,7.84933864908653e-09
"ENSG00000019582","CD74",7,28.0683669344828,1.82558257651943e-11,9.77678842881657e-09
"ENSG00000021355","SERPINB1",4,16.5029771340445,1.89642653337608e-11,9.94009949994034e-09
"ENSG00000106462","EZH2",15,54.8636141844589,1.96218379364045e-11,1.00704995325693e-08
"ENSG00000145990","GFOD1",4,20.1034774304266,2.09721604349141e-11,1.05438606594716e-08
"ENSG00000125520","SLC2A4RG",6,27.6383107173736,2.63271777588027e-11,1.29714004817621e-08
"ENSG00000133048","CHI3L1",5,15.9168968958857,3.02029973047435e-11,1.4589232129458e-08
"ENSG00000203814","H2BC18",4,22.6271333420202,3.10348478743656e-11,1.47027591804807e-08
"ENSG00000185215","TNFAIP2",10,44.8335291432348,3.18957423235849e-11,1.48255021158776e-08
"ENSG00000144749","LRIG1",8,33.2173237104977,4.56644858738459e-11,2.08323075833739e-08
"ENSG00000150938","CRIM1",6,25.3454963315211,5.99570623828747e-11,2.6855313305493e-08
"ENSG00000113368","LMNB1",6,27.354162856228,8.09609779282627e-11,3.45240758384648e-08
"ENSG00000184371","CSF1",6,21.5899355041964,7.99698361384717e-11,3.45240758384648e-08
"ENSG00000178999","AURKB",9,26.8951468996075,8.12825816371405e-11,3.45240758384648e-08
"ENSG00000108106","UBE2S",3,17.0395162628344,9.39548252864949e-11,3.87005709131207e-08
"ENSG00000127483","HP1BP3",13,66.7646072588435,9.42575301314082e-11,3.87005709131207e-08
"ENSG00000134057","CCNB1",6,22.4632571375669,1.84237892060211e-10,7.44049257525131e-08
"ENSG00000105835","NAMPT",22,78.4917809677705,1.93161620384167e-10,7.67505890026446e-08
"ENSG00000135476","ESPL1",8,27.8961211549196,2.03499117671026e-10,7.83312619347768e-08
"ENSG00000103202","NME4",9,31.7248508108536,2.03460496895552e-10,7.83312619347768e-08
"ENSG00000079482","OPHN1",14,49.7607600300253,2.18805284137478e-10,8.29272026881042e-08
"ENSG00000160439","RDH13",13,42.8356526836329,2.2252042080948e-10,8.3057432827902e-08
"ENSG00000198910","L1CAM",12,44.3532625523693,2.33181036949079e-10,8.57375350035905e-08
"ENSG00000163874","ZC3H12A",4,15.0011508581165,2.55828506726515e-10,9.26814009295249e-08
"ENSG00000010278","CD9",17,74.6435148478619,2.63349379044524e-10,9.40233616342297e-08
"ENSG00000196975","ANXA4",8,38.2202834817383,2.67604242631257e-10,9.4177578817443e-08
"ENSG00000165507","DEPP1",2,7.34612683976953,2.79189007073391e-10,9.6870720975394e-08
"ENSG00000135451","TROAP",11,34.221200846801,3.99310739923501e-10,1.36625278861326e-07
"ENSG00000137699","TRIM29",13,30.5750901680191,4.05286847609734e-10,1.36770431381723e-07
"ENSG00000100906","NFKBIA",7,29.1689319111969,4.66251520082335e-10,1.55217651313896e-07
"ENSG00000224078","SNHG14",38,118.681443814267,4.80433789666734e-10,1.57806485445867e-07
"ENSG00000138496","PARP9",6,29.0962156373594,5.74611195451395e-10,1.8625719473612e-07
"ENSG00000183696","UPP1",7,21.1930976107894,5.9529217252953e-10,1.89316147649495e-07
"ENSG00000104419","NDRG1",31,107.46048093991,5.99417881739827e-10,1.89316147649495e-07
"ENSG00000206077","ZDHHC11B",7,20.3104608377665,6.13340125231819e-10,1.91261189684631e-07
"ENSG00000186185","KIF18B",4,19.9561346324421,6.33802192235797e-10,1.95171462571611e-07
"ENSG00000149596","JPH2",2,8.7116034824486,6.64798667003482e-10,2.02189076069516e-07
"ENSG00000115977","AAK1",12,49.9027408104442,1.61147927624285e-09,4.84131609393202e-07
"ENSG00000106772","PRUNE2",11,40.7767882078671,1.63561407014362e-09,4.85462079734795e-07
"ENSG00000105357","MYH14",9,39.1635577253228,1.7450156340133e-09,5.11767382665686e-07
"ENSG00000136160","EDNRB",2,3.32982137027489,1.83166663876747e-09,5.30457821362082e-07
"ENSG00000148346","LCN2",5,21.5610790350437,1.85181135121328e-09,5.30457821362082e-07
"ENSG00000184445","KNTC1",10,35.5221888590637,2.37857009028784e-09,6.73518093956793e-07
"ENSG00000073910","FRY",7,23.5425080397002,2.58688815664276e-09,7.24181701578346e-07
"ENSG00000078114","NEBL",11,34.7715145443053,2.91318661834796e-09,8.06363509471931e-07
"ENSG00000124831","LRRFIP1",13,47.7646060888424,2.95340496244498e-09,8.08412569442578e-07
"ENSG00000065328","MCM10",6,18.4151246447019,3.01238800203457e-09,8.15496466265072e-07
"ENSG00000185499","MUC1",13,56.7569299627851,3.18087288207216e-09,8.51747863585302e-07
"ENSG00000109452","INPP4B",6,16.7212635839464,3.90753729530539e-09,1.03507721795536e-06
"ENSG00000171320","ESCO2",5,15.9988559071045,4.15091808579899e-09,1.08033055653488e-06
"ENSG00000067066","SP100",14,48.4488194699151,4.16608089591288e-09,1.08033055653488e-06
"ENSG00000119707","RBM25",10,47.6666067252097,4.2963163554569e-09,1.10249743142376e-06
"ENSG00000157873","TNFRSF14",7,22.8228599774086,4.81559796345554e-09,1.22301294669822e-06
"ENSG00000166289","PLEKHF1",3,12.3588037104379,5.05260026744223e-09,1.27011028151469e-06
"ENSG00000161791","FMNL3",3,14.0914391830189,5.90829382986732e-09,1.47021028786648e-06
"ENSG00000151150","ANK3",16,50.5403170041202,6.44119778407909e-09,1.57894161844197e-06
"ENSG00000169679","BUB1",10,32.7249030537501,6.47343630861129e-09,1.57894161844197e-06
"ENSG00000132481","TRIM47",5,16.414032821603,6.60453060708763e-09,1.5951236422118e-06
"ENSG00000268621","IGFL2-AS1",8,20.7712468162914,7.19680207090391e-09,1.72129338851182e-06
"ENSG00000165949","IFI27",12,46.0068350928372,7.41718633478161e-09,1.75694601305139e-06
"ENSG00000285106","",5,16.896721205643,7.98421834914505e-09,1.83823569188026e-06
"ENSG00000172009","THOP1",7,28.5719052424448,7.88863672814091e-09,1.83823569188026e-06
"ENSG00000137501","SYTL2",8,19.0920994478426,7.94870349261248e-09,1.83823569188026e-06
"ENSG00000173821","RNF213",19,76.6303016753668,8.3703958139139e-09,1.90930278588675e-06
"ENSG00000166979","EVA1C",8,24.3223317952627,9.12928002531327e-09,2.03750803798535e-06
"ENSG00000105855","ITGB8",5,36.9730589827087,9.18057204044547e-09,2.03750803798535e-06
"ENSG00000140451","PIF1",6,18.9852317678007,9.02049805924929e-09,2.03750803798535e-06
"ENSG00000121152","NCAPH",7,29.1436963153461,1.08599862086726e-08,2.38871214509509e-06
"ENSG00000157456","CCNB2",3,13.5221465276012,1.21438478489816e-08,2.6069728590291e-06
"ENSG00000175063","UBE2C",6,21.3467967704298,1.20730038922458e-08,2.6069728590291e-06
"ENSG00000167767","KRT80",3,16.6894693544912,1.21697535534137e-08,2.6069728590291e-06
"ENSG00000113742","CPEB4",11,40.7036698206413,1.2420896982745e-08,2.6378344583614e-06
"ENSG00000164828","SUN1",25,106.094749240327,1.26155352652807e-08,2.65627103641187e-06
"ENSG00000176485","PLAAT3",6,19.6078977711518,1.33704504799739e-08,2.79136480995048e-06
"ENSG00000196405","EVL",14,40.3354068557461,1.41462965804282e-08,2.9046886319638e-06
"ENSG00000179820","MYADM",9,42.5143385151893,1.414908203108e-08,2.9046886319638e-06
"ENSG00000116560","SFPQ",9,43.3078238412014,1.44334749403911e-08,2.9385839269135e-06
"ENSG00000113645","WWC1",11,50.7500254878174,1.96100928110192e-08,3.95979210163491e-06
"ENSG00000142661","MYOM3",3,11.9781982037051,2.14190110615496e-08,4.28989705285588e-06
"ENSG00000198517","MAFK",3,15.4924290324702,2.42149832084094e-08,4.7762445283807e-06
"ENSG00000279277","",3,14.45086400236,2.4235054436679e-08,4.7762445283807e-06
"ENSG00000138346","DNA2",6,21.790237578459,2.56689935737699e-08,5.01869568801446e-06
"ENSG00000178104","PDE4DIP",22,63.7326533624786,2.61378266192347e-08,5.07012093515628e-06
"ENSG00000107742","SPOCK2",7,35.5445937695822,2.73332254271351e-08,5.26057819060525e-06
"ENSG00000197747","S100A10",4,20.8416384182604,2.9836860482364e-08,5.69791517816308e-06
"ENSG00000135046","ANXA1",8,34.0052514625638,3.071927852971e-08,5.82130328138005e-06
"ENSG00000130589","HELZ2",5,27.1026479428697,3.6211320200955e-08,6.80966315382081e-06
"ENSG00000127528","KLF2",2,6.8860563201704,3.99594865574055e-08,7.45759054046731e-06
"ENSG00000115415","STAT1",23,93.5263674352694,4.19267153901586e-08,7.76589950102675e-06
"ENSG00000157601","MX1",18,60.1964669313991,4.30571163969398e-08,7.91576165998965e-06
"ENSG00000136527","TRA2B",10,54.9371985170328,4.63376308123985e-08,8.41908620635499e-06
"ENSG00000160789","LMNA",28,118.527029564451,4.64784138041112e-08,8.41908620635499e-06
"ENSG00000124491","F13A1",2,4.58621023678333,4.68964294384364e-08,8.4327995563203e-06
"ENSG00000267801","",1,3.70584148251881,5.04904831227036e-08,9.01328298353481e-06
"ENSG00000115875","SRSF7",10,46.7439313817993,5.11741610064434e-08,9.06907832780058e-06
"ENSG00000136450","SRSF1",7,40.7567419672164,5.1539312599638e-08,9.06907832780058e-06
"ENSG00000168398","BDKRB2",2,6.74109801893685,5.39432515615227e-08,9.42476597317811e-06
"ENSG00000143815","LBR",7,22.8041114419942,5.58178975341199e-08,9.6836190545989e-06
"ENSG00000090339","ICAM1",2,7.67043617496996,5.64805117107826e-08,9.73005179017573e-06
"ENSG00000006534","ALDH3B1",9,31.1100942301536,5.8226128466905e-08,9.89241844677382e-06
"ENSG00000122566","HNRNPA2B1",22,96.6914628309193,5.81857302154481e-08,9.89241844677382e-06
