"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000135480","KRT7",13,63.4684653235741,1.60623865100948e-25,3.95696891676184e-21
"ENSG00000231721","LINC-PINT",15,48.5096340994246,1.00625615339924e-24,1.23945601694951e-20
"ENSG00000160179","ABCG1",9,24.7335003395281,6.83246170253728e-24,5.6105898014002e-20
"ENSG00000182718","ANXA2",37,133.042022260536,4.21024623264428e-23,2.59298539852979e-19
"ENSG00000165029","ABCA1",5,23.5939614835552,8.51585733165915e-23,4.19576290730846e-19
"ENSG00000047457","CP",14,65.4776412883495,5.28545066862079e-21,2.17011795369122e-17
"ENSG00000072310","SREBF1",17,59.489458428036,2.67120784568766e-19,9.4007436112165e-16
"ENSG00000140022","STON2",7,36.6594771192094,3.66062140666986e-18,1.1272426044164e-14
"ENSG00000013588","GPRC5A",6,24.8252682519546,1.68693594280798e-17,4.6175185501194e-14
"ENSG00000134531","EMP1",9,33.5554102038976,3.50924290916882e-17,8.6450199067374e-14
"ENSG00000166949","SMAD3",14,48.3778029571686,5.27631435901579e-17,1.18165458394867e-13
"ENSG00000157557","ETS2",7,27.8149347366481,1.04705104229188e-16,2.14950853557171e-13
"ENSG00000188313","PLSCR1",14,52.1522498525325,3.25673544635254e-16,6.17151367083806e-13
"ENSG00000131941","RHPN2",6,34.535966890761,4.84026871247496e-16,8.51714426655861e-13
"ENSG00000243649","CFB",8,24.1023261750109,6.19735427742926e-16,1.0178121508298e-12
"ENSG00000164104","HMGB2",5,27.6618258357061,3.23724500099832e-15,4.9843456624746e-12
"ENSG00000161011","SQSTM1",14,63.2334522627737,4.20532473547296e-15,5.75545415879868e-12
"ENSG00000125347","IRF1",13,43.6488496270141,4.05590847734641e-15,5.75545415879868e-12
"ENSG00000026508","CD44",15,35.774876978893,8.5593379944269e-15,1.10978574469846e-11
"ENSG00000105968","H2AZ2",6,32.7012771310477,1.35550214198127e-14,1.66963976338543e-11
"ENSG00000163435","ELF3",10,57.4947991475044,3.01925512197484e-14,3.54187380618334e-11
"ENSG00000142910","TINAGL1",9,34.6825393774093,3.59503745833335e-14,4.02562489936555e-11
"ENSG00000213626","LBH",6,21.7032855350137,8.58564170910216e-14,9.19596884798834e-11
"ENSG00000146674","IGFBP3",7,28.6689510708305,2.56603326270871e-13,2.63392622611787e-10
"ENSG00000145623","OSMR",3,12.5541332434507,4.19697768062572e-13,4.13570180648858e-10
"ENSG00000067082","KLF6",6,35.7569807415646,7.37774676895346e-13,6.9904150635834e-10
"ENSG00000088367","EPB41L1",14,60.9954589950016,9.6145348945792e-13,8.77237285659106e-10
"ENSG00000144802","NFKBIZ",10,40.7220098043287,1.26792430345723e-12,1.11554697198818e-09
"ENSG00000048052","HDAC9",19,65.0997226736734,1.97771049039523e-12,1.68003096313402e-09
"ENSG00000123095","BHLHE41",3,16.3005806317139,2.87596242757229e-12,2.31749177346643e-09
"ENSG00000122966","CIT",20,70.0078724989185,2.91626730170324e-12,2.31749177346643e-09
"ENSG00000197837","H4-16",4,16.4111240762105,3.36148741461856e-12,2.58782007684776e-09
